manufactor,name,ename,aprice,sprice,laptop_size,laptop_weight,laptop_type,Screen_size,Screen_type,Screen_resolution,CPU_manufacturer,CPU_series,CPU_model,CPU_frequency,cache_memory,RAM,RAM_type,hard_disk,internal_memory,graphic_manufacturer,graphic_model,graphic_memory,Laptop_id
apple,"
لپ تاپ اپل مک بوک پرو مدل MPTU2 دارای تاچ بار و صفحه نمایش رتینا
","
MacBook Pro 2017 MPTU2 15.4 inch with Touch Bar and Retina Display Laptop
","15,200,000 تومان","15,300,000 تومان",15 * 241 * 351 میلیمتر,1.82 کیلوگرم,مک‌بوک,15.4 اینچ,IPS LCD,1800 * 2880,INTEL,Core i7,2.8 گیگا هرتز,3.8 گیگاهرتز,,16 گیگابایت,DDR3,256 گیگابایت,SSD,AMD Radeon ,Pro 555,2 گیگا بایت,51803
apple,"
لب تاپ اپل مک بوک پرو مدل ام جی ایکس 92 با صفحه نمایش رتینا
","
MacBook Pro Retina MGX92 Core i5 8GB 512GB SSD Intel Laptop
","36,990,000 تومان","37,190,000 تومان",18 × 219 × 313 میلی‌متر,1.57 کیلوگرم,آلترابوک,13.3 اینچ,Retina LED-Backlit Display with IPS Technology,1600 * 2560,INTEL,Core i5,2.8 گیگا هرتز,3 مگابایت,,8 گیگابایت,DDR3,512 گیگابایت,SSD,Intel,Iris Pro Graphics,,1197
apple,"
لب تاپ اپل مک بوک پرو مدل ام سی 976
","
MacBookPro-MC976
","37,500,000 تومان","46,300,000 تومان",358.9 * 247.1 * 18 میلیمتر,2.02 کیلوگرم,,15.4 اینچ,LED-Backlit Retina,1800 * 2880,INTEL,Core i7,2.6 گیگا هرتز,6 مگابایت,,8 گیگابایت,DDR3L,512 گیگابایت,SSD,Nvidia Gforce,GT 650M GDDR5,1 گیگا بایت,1412
apple,"
لب تاپ اپل مک بوک ایر مدل ام جی وی ام 2
","
MacBookAir-MJVM2
","95,000,000 تومان","95,900,000 تومان",299 * 249 * 17.78 میلی‌متر,1.08 کیلوگرم,,11 اینچ,TFT LED-Backlit LCD,768 * 1366,INTEL,Core i5,5th Generation-Broadwell,1.6 گیگاهرتز,,4 گیگابایت,DDR3,128 گیگابایت,SSD,Intel,HD Graphics 6000,,1553
apple,"
لب تاپ اپل مک بوک ایر مدل ام جی وی جی 2
","
MacBookAir-MJVG2
","54,380,000 تومان","55,380,000 تومان",17 * 277 * 325 میلی‌متر,1.35 کیلوگرم,,13 اینچ,TFT LED-Backlit LCD,900 * 1440,INTEL,Core i5,5th Generation-Broadwell,1.6 گیگاهرتز,,4 گیگابایت,DDR3,256 گیگابایت,SSD,Intel,HD Graphics 6000,,1556
apple,"
لپ تاپ اپل مک بوک ام کی 4 ام 2
","
MacBook MK4M2 12 Inch with Retina Display Laptop
","73,000,000 تومان","74,000,000 تومان",13.1 * 196.5 * 285 میلیمتر,920 گرم,,12 اینچ,IPS LCD,1440*1050 ,INTEL,Core-M,5th Generation-Broadwell,1.2 گیگاهرتز,,8 گیگابایت,DDR3,256 گیگابایت,SSD,Intel,HD Graphics 5300,,4569
apple,"
لپ تاپ اپل مک بوک ایر ام ام جی اف 2
","
MacBook Air 2015 MMGF2 - 13 Inch Laptop
","25,550,000 تومان","29,599,000 تومان",17 * 227 * 325 میلیمتر,1.35 گرم,مک‌بوک,13 اینچ,TFT LED-backlit LCD,900 * 1440,INTEL,Core i5,5th Generation-Broadwell,1.6 گیگاهرتز,3 مگابایت,8 گیگابایت,DDR3,128 گیگابایت,SSD,Intel,HD Graphics 6000,,42240
apple,"
لپ تاپ اپل مک بوک پرو مدل MLL42 با صفحه نمایش رتینا
","
MacBook Pro 2016 MLL42 13 inch with Retina Display Laptop
","88,300,000 تومان","88,400,000 تومان",305 * 15 * 213 میلیمتر,1.36 کیلوگرم,مک‌بوک,13.3 اینچ,IPS LCD,1600 * 2560,INTEL,Core i5,2.0 گیگا هرتز,3.1 گیگاهرتز,,8 گیگابایت,DDR3,256 گیگابایت,SSD,Intel,Iris Graphics 540,,48417
apple,"
لپ تاپ 12 اینچی اپل مک بوک مدل MMGL2 2016 با صفحه نمایش رتینا
","
MacBook MMGL2 2016 12 Inch with Retina Display Laptop
","16,000,000 تومان","16,100,000 تومان",3.5 ~ 13.1 * 196.5 * 285 میلیمتر,920 گرم,مک‌بوک,12 اینچ,IPS LCD,1440 * 2304,INTEL,Core-M3,6th Generation - Skylake,1.1 گیگاهرتز,4 مگابایت,8 گیگابایت,DDR3,256 گیگابایت,SSD,Intel,HD Graphics 515,,45256
apple,"
لپ تاپ اپل مک بوک ایر 2020 مدل MWTL2 با پردازنده i3
","
MacBook Air 2020 MWTL2 13 inch with Retina Display Laptop
","16,749,000 تومان","16,999,000 تومان",212 * 16 * 304 میلیمتر,1.29 کیلوگرم,مک‌بوک,13.3 اینچ,LED-backlit display with IPS technology,1600 * 2560,INTEL,Core i3,1.1 گیگاهرتز,3.2 گیگاهرتز,,8 گیگابایت,,256 گیگابایت,SSD,Intel,Intel Iris Plus Graphics,,109476
