manufactor,name,ename,aprice,sprice,laptop_size,laptop_weight,laptop_type,Screen_size,Screen_type,Screen_resolution,CPU_manufacturer,CPU_series,CPU_model,CPU_frequency,cache_memory,RAM,RAM_type,hard_disk,internal_memory,graphic_manufacturer,graphic_model,graphic_memory,Laptop_id
microsoft,"
لپ تاپ 13.5 اینچی مایکروسافت مدل Surface Laptop 5 پردازنده Core i5-1235U رم 8GB حافظه 256GB SSD گرافیک Intel
","
Surface Laptop 5 13.5inch Core i5-1235U 8GB 256GB SSD Intel Touch Laptop
",41730000,43499000,308x223x14.5 میلی‌متر,1.2,نوت بوک (لپ تاپ),13.5,PixelSense™ Display,2256 * 1504,INTEL,Core i5,i5 - 1235U,3.3 گیگاهرتز,12  مگابایت,8 گیگابایت,DDR5,256 گیگابایت,SSD,Intel, Intel® Iris® Xe,,129868
microsoft,"
لپ تاپ 13.5 اینچی مایکروسافت مدل Surface Laptop 5 پردازنده Core i5-1235U رم 8GB حافظه 512GB SSD گرافیک Intel
","
Surface Laptop 5 13.5inch Core i5-1235U 8GB 512GB SSD Intel Touch Laptop
",71864000,71999000,308x223x14.5 میلی‌متر,1.2,نوت بوک (لپ تاپ),13.5,PixelSense™ Display,2256 * 1504,INTEL,Core i5,i5 - 1235U,3.3 گیگاهرتز,12  مگابایت,8 گیگابایت,DDR5,512 گیگابایت,SSD,Intel, Intel® Iris® Xe,,129869
microsoft,"
لپ تاپ 13.5 اینچی مایکروسافت مدل Surface Laptop 5 پردازنده Core i5-1235U رم 16GB حافظه 512GB SSD گرافیک Intel
","
Surface Laptop 5 13.5inch Core i5-1235U 16GB 512GB SSD Intel Touch Laptop
",60300000,61300000,308x223x14.5 میلی‌متر,1.2,نوت بوک (لپ تاپ),13.5,PixelSense™ Display,2256 * 1504,INTEL,Core i5,i5 - 1235U,3.3 گیگاهرتز,12  مگابایت,16 گیگابایت,DDR5,512 گیگابایت,SSD,Intel, Intel® Iris® Xe,,129870
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 5 پردازنده Core i7-1255U رم 8GB حافظه 512GB SSD گرافیک Intel
","
Surface Laptop 5 15 inch Core i7-1255U 8GB 512GB SSD Intel Touch Laptop
",71500000,72500000,338x243x14.7 میلی‌متر,1.5,نوت بوک (لپ تاپ),15.356340405014462,PixelSense™ Display,,INTEL,Core i7,i7-1255U,3.5 گیگاهرتز,12  مگابایت,8 گیگابایت,DDR5,512 گیگابایت,SSD,Intel, Intel® Iris® Xe,,129872
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 5 پردازنده Core i7-1255U رم 16GB حافظه 512GB SSD گرافیک Intel
","
Surface Laptop 5 15 inch Core i7-1255U 16GB 512GB SSD Intel Touch Laptop
",51960000,72500000,338x243x14.7 میلی‌متر,1.5,نوت بوک (لپ تاپ),15.356340405014462,PixelSense™ Display,,INTEL,Core i7,i7-1255U,3.5 گیگاهرتز,12  مگابایت,16 گیگابایت,DDR5,512 گیگابایت,SSD,Intel, Intel® Iris® Xe,,129873
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 5 پردازنده Core i7-1255U رم 32GB حافظه 1TB SSD گرافیک Intel
","
Surface Laptop 5 15 inch Core i7-1255U 32GB 1TB SSD Intel Touch Laptop
",71800000,72000000,338x243x14.7 میلی‌متر,1.5,نوت بوک (لپ تاپ),15.356340405014462,PixelSense™ Display,,INTEL,Core i7,i7-1255U,3.5 گیگاهرتز,12  مگابایت,32 گیگابایت,DDR5,1 ترابایت,SSD,Intel, Intel® Iris® Xe,,129874
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 3 Core i7 16GB 512GB SSD Intel
","
Surface Laptop 3 Core i7 16GB 512GB SSD Intel Touch 15 Inch Laptop
",69514000,69799000,1.2 کیلوگرم,6.968171408250355,,15.356340405014462,PixelSense™ Display,2256 * 1504,INTEL,Core i7,i7 1065 G7,,,16 گیگابایت,DDR4,512 گیگابایت,SSD,Intel,Intel Iris Plus Graphics,,130545
microsoft,"
لپ تاپ 13.5 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Ryzen 7 4980U رم 16GB حافظه 512GB SSD گرافیک AMD Radeon
","
Surface Laptop 4 13.5inch Ryzen 7 4980U 16GB 512GB SSD AMD Radeon Touch Laptop
",38600000,38900000,1.265 کیلوگرم,6.968171408250355,,13.5,PixelSense™ Display,2256 * 1504,AMD,Ryzen 7,Ryzen 7 4980U,,,16 گیگابایت,DDR4,512 گیگابایت,SSD,AMD,powered by AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,,127941
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 5 پردازنده Core i7-1255U رم 8GB حافظه 256GB SSD گرافیک Intel
","
Surface Laptop 5 15 inch Core i7-1255U 8GB 256GB SSD Intel Touch Laptop
",63500000,37299000,338x243x14.7 میلی‌متر,1.5,نوت بوک (لپ تاپ),15.356340405014462,PixelSense™ Display,,INTEL,Core i7,i7-1255U,3.5 گیگاهرتز,12  مگابایت,8 گیگابایت,DDR5,256 گیگابایت,SSD,Intel, Intel® Iris® Xe,,131109
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Core i7-1185G7 رم 8GB حافظه 512GB SSD گرافیک Intel
","
Surface Laptop 4 15inch Core i7-1185G7 8GB 512GB SSD Intel Touch Laptop
",37150000,37400000,339.5 * 244 * 14.7 میلی‌متر,1.54,نوت بوک (لپ تاپ),15.356340405014462,PixelSense™ Display,,INTEL,Core i7,i7-1185G7,,,8 گیگابایت,DDR4,512 گیگابایت,SSD,Intel, Intel® Iris® Xe,,131825
